Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
Milton S. Hershey Medical Center,Hershey,548,"28,899","169,091",Pennsylvania
Monongahela Valley Hospital,Monongahela,167,"5,075","24,897",Pennsylvania
Moses Taylor Hospital,Scranton,183,"7,521","34,614",Pennsylvania
Mount Nittany Medical Center,State College,260,"12,576","47,428",Pennsylvania
Nazareth Hospital,Philadelphia,200,"8,558","30,579",Pennsylvania
Ohio Valley Hospital,Kennedy Township,124,"2,782","9,449",Pennsylvania
OSS Orthopaedic Hospital,York,30,"1,789","3,312",Pennsylvania
Paoli Hospital,Paoli,231,"14,156","55,544",Pennsylvania
Penn Highlands Clearfield,Clearfield,50,"1,143","4,044",Pennsylvania
Penn Highlands DuBois,DuBois,216,"9,968","43,951",Pennsylvania
Penn Highlands Huntingdon,Huntingdon,71,"1,628","5,629",Pennsylvania
Penn Presbyterian Medical Center,Philadelphia,357,"17,368","98,286",Pennsylvania
Penn State Health Saint Joseph - Downtown Reading Campus,Reading,0,0,0,Pennsylvania
Penn State Health Saint Joseph - Main Campus,Reading,180,"7,747","34,315",Pennsylvania
Pennsylvania Hospital,Philadelphia,445,"21,761","86,570",Pennsylvania
Phoenixville Hospital,Phoenixville,137,"6,000","25,715",Pennsylvania
Physician's Care Surgical Hospital,Royersford,12,"1,353","1,640",Pennsylvania
Pottstown Hospital,Pottstown,211,"7,452","28,611",Pennsylvania
Punxsutawney Area Hospital,Punxsutawney,44,"1,058","3,461",Pennsylvania
Regional Hospital of Scranton,Scranton,154,"7,849","37,823",Pennsylvania
Riddle Memorial Hospital,Media,227,"10,814","41,644",Pennsylvania
Rothman Orthopaedic Specialty Hospital,Bensalem,24,"2,119","2,653",Pennsylvania
Roxborough Memorial Hospital,Philadelphia,131,"3,272","11,802",Pennsylvania
Saint Clair Hospital,Pittsburgh,329,"14,445","57,384",Pennsylvania
Saint Luke's Anderson Campus,Easton,108,"7,789","26,746",Pennsylvania
Saint Luke's Allentown Campus,Allentown,112,"4,344","20,116",Pennsylvania
Saint Luke's Hospital - Monroe Campus,Stroudsburg,90,"6,712","24,583",Pennsylvania
Saint Luke's Hospital Gnaden Huetten Campus,Lehighton,201,"2,338","12,593",Pennsylvania
Saint Luke's Miners Campus,Coaldale,97,"2,527","8,793",Pennsylvania
Saint Luke's Quakertown Campus,Quakertown,62,"3,530","15,938",Pennsylvania
Saint Luke's Sacred Heart Campus,Allentown,167,"3,947","22,894",Pennsylvania
Saint Luke's University Hospital - Bethlehem,Bethlehem,542,"32,582","124,163",Pennsylvania
Saint Mary Medical Center,Langhorne,348,"25,567","85,598",Pennsylvania
Saint Vincent Hospital,Erie,330,"12,740","60,896",Pennsylvania
Sharon Regional Health System,Sharon,233,"6,956","31,886",Pennsylvania
Springfield Hospital,Springfield,0,0,0,Pennsylvania
St. Luke's Upper Bucks Campus,Quakertown,0,0,0,Pennsylvania
Suburban Community Hospital,East Norriton,126,"2,437","9,455",Pennsylvania
Surgical Institute of Reading,Wyomissing,15,811,"1,595",Pennsylvania
Taylor Hospital,Ridley Park,213,"5,201","21,942",Pennsylvania
Temple University Hospital,Philadelphia,732,"24,314","152,588",Pennsylvania
Temple University Hospital - Episcopal Campus,Philadelphia,0,0,0,Pennsylvania
Thomas Jefferson University Hospital - Center City Campus,Philadelphia,883,"37,680","214,333",Pennsylvania
Tyler Memorial Hospital,Tunkhannock,44,372,979,Pennsylvania
Uniontown Hospital,Uniontown,160,"7,795","32,862",Pennsylvania
UPMC Altoona,Altoona,344,"18,442","90,610",Pennsylvania
UPMC Bedford,Everett,40,"1,180","3,931",Pennsylvania
UPMC Carlisle,Carlisle,80,"4,422","16,753",Pennsylvania
UPMC East,Monroeville,156,"7,926","37,347",Pennsylvania
UPMC Hanover,Hanover,81,"5,334","21,456",Pennsylvania
UPMC Horizon - Greenville,Greenville,122,"3,995","15,409",Pennsylvania
UPMC Horizon: Shenango Valley,Farrell,0,0,0,Pennsylvania
UPMC Jameson,New Castle,133,"4,769","21,703",Pennsylvania
UPMC Kane,Kane,31,332,"1,223",Pennsylvania
UPMC McKeesport,McKeesport,213,"6,715","40,776",Pennsylvania
UPMC Memorial,York,60,"3,868","13,829",Pennsylvania
UPMC Mercy,Pittsburgh,445,"15,510","79,999",Pennsylvania
UPMC Montefiore,Pittsburgh,0,0,0,Pennsylvania
UPMC Northwest,Seneca,171,"4,734","19,344",Pennsylvania
UPMC Passavant - Cranberry,Cranberry Township,0,0,0,Pennsylvania
UPMC Passavant - McCandless,Pittsburgh,389,"14,924","71,902",Pennsylvania
UPMC Pinnacle Community Osteopathic Campus,Harrisburg,114,"4,300","22,694",Pennsylvania
UPMC Pinnacle Harrisburg,Harrisburg,493,"35,807","163,204",Pennsylvania
UPMC Pinnacle West Shore,Mechanicsburg,0,0,0,Pennsylvania
UPMC Presbyterian,Pittsburgh,"1,484","48,307","320,488",Pennsylvania
UPMC Saint Margaret,Pittsburgh,250,"9,582","41,853",Pennsylvania
UPMC Shadyside,Pittsburgh,433,"22,192","121,785",Pennsylvania
UPMC Somerset,Somerset,99,"1,968","7,378",Pennsylvania
UPMC Susquehanna Lock Haven,Lock Haven,137,819,"2,836",Pennsylvania
UPMC Susquehanna Williamsport Regional Medical Center,Williamsport,255,"10,654","49,709",Pennsylvania
VA Butler Healthcare,Butler,0,0,0,Pennsylvania
VA Pittsburgh Healthcare System - University Drive Campus,Pittsburgh,0,0,0,Pennsylvania
Valley Forge Medical Center,Norristown,50,"1,170","12,573",Pennsylvania
Warren General Hospital,Warren,85,"2,306","10,071",Pennsylvania
Washington Health System Greene,Waynesburg,23,681,"2,065",Pennsylvania
Washington Hospital,Washington,251,"8,921","35,904",Pennsylvania
Wayne Memorial Hospital,Honesdale,90,"3,568","9,916",Pennsylvania
WellSpan Chambersburg Hospital,Chambersburg,285,"9,362","33,814",Pennsylvania
WellSpan Ephrata Community Hospital,Ephrata,141,"6,009","22,347",Pennsylvania
Wellspan Gettysburg Hospital,Gettysburg,76,"4,552","17,114",Pennsylvania
WellSpan Good Samaritan Hospital,Lebanon,159,"7,751","30,093",Pennsylvania
Wellspan Surgery and Rehabilitation Hospital,York,73,836,"1,360",Pennsylvania
Wellspan Waynesboro Hospital,Waynesboro,57,"2,301","7,725",Pennsylvania
WellSpan York Hospital,York,585,"27,115","150,917",Pennsylvania
West Penn Hospital,Pittsburgh,293,"13,445","75,030",Pennsylvania
Wilkes-Barre General Hospital,Wilkes-Barre,277,"11,515","56,113",Pennsylvania
Wilkes-Barre VA Medical Center,Wilkes-Barre,0,0,0,Pennsylvania
Wills Eye Hospital,Philadelphia,4,297,766,Pennsylvania
Kent Hospital,Warwick,343,"14,196","62,230",Rhode Island
Landmark Medical Center,Woonsocket,141,"5,988","21,106",Rhode Island
Newport Hospital,Newport,129,"4,519","16,705",Rhode Island
Our Lady of Fatima Hospital,North Providence,312,"3,504","14,709",Rhode Island
Providence VA Medical Center,Providence,0,0,0,Rhode Island
Rhode Island Hospital,Providence,691,"30,561","184,905",Rhode Island
Roger Williams Medical Center,Providence,160,"6,526","28,185",Rhode Island
South County Health,Wakefield,79,"5,804","19,426",Rhode Island
The Miriam Hospital,Providence,247,"19,264","73,681",Rhode Island
The Westerly Hospital,Westerly,75,"2,694","10,672",Rhode Island
Women & Infants Hospital,Providence,247,"11,455","72,734",Rhode Island
Aiken Regional Medical Centers,Aiken,266,"10,569","45,532",South Carolina
AnMed Health Cannon,Pickens,42,749,"2,551",South Carolina
AnMed Health Medical Center,Anderson,396,"18,401","83,722",South Carolina
Baptist Easley Hospital,Easley,89,"3,102","12,093",South Carolina
Beaufort Memorial Hospital,Beaufort,195,"8,126","34,357",South Carolina
Bon Secours Saint Francis Hospital,Charleston,189,"8,655","38,419",South Carolina
Carolina Pines Regional Medical Center,Hartsville,116,"3,955","14,694",South Carolina
Cherokee Medical Center,Gaffney,44,"1,642","6,598",South Carolina
Coastal Carolina Hospital,Hardeeville,41,"2,916","10,330",South Carolina
Colleton Medical Center,Walterboro,135,"3,662","14,434",South Carolina
Columbia VA Health Care System,Columbia,0,0,0,South Carolina
Conway Medical Center,Conway,166,"8,954","38,252",South Carolina
East Cooper Medical Center,Mount Pleasant,130,"4,976","17,342",South Carolina
Grand Strand Regional Medical Center,Myrtle Beach,369,"21,789","101,610",South Carolina
Greenville Memorial Hospital,Greenville,799,"30,881","195,977",South Carolina
Greer Memorial Hospital,Greer,57,"3,263","8,362",South Carolina
Hampton Regional Medical Center,Varnville,32,670,"2,304",South Carolina
Hillcrest Memorial Hospital,Simpsonville,43,"1,849","3,878",South Carolina
Hilton Head Hospital,Hilton Head,93,"6,277","22,710",South Carolina
Kershaw Health Medical Center,Camden,123,"4,012","17,708",South Carolina
Lake City Community Hospital,Lake City,26,569,"2,537",South Carolina
Laurens County Hospital,Clinton,57,"2,377","7,703",South Carolina
Lexington Medical Center,West Columbia,436,"24,086","130,080",South Carolina
McLeod Darlington,Darlington,59,33,156,South Carolina
McLeod Health Cheraw,Cheraw,48,"2,530","8,792",South Carolina
McLeod Health Clarendon,Manning,49,"2,489","7,184",South Carolina
McLeod Health Dillon,Dillon,72,"2,286","7,370",South Carolina
McLeod Health Seacoast,Little River,0,0,0,South Carolina
McLeod Loris,Loris,155,"5,855","23,992",South Carolina
McLeod Regional Medical Center,Florence,509,"26,203","138,966",South Carolina
MUSC Health Ashley River Tower,Charleston,0,0,0,South Carolina
MUSC Health Chester Medical Center,Chester,122,888,"3,123",South Carolina
MUSC Health Florence Medical Center,Florence,396,"10,477","55,350",South Carolina
MUSC Health Lancaster Medical Center,Lancaster,215,"4,382","18,453",South Carolina
MUSC Health Marion Medical Center,Mullins,94,"1,992","8,134",South Carolina
MUSC Health University Hospital,Charleston,780,"35,824","209,956",South Carolina
MUSC Shawn Jenkins Children's Hospital and Pearl Tourville Women's Pavilion,Charleston,0,0,0,South Carolina
Naval Hospital Beaufort,Beaufort,0,0,0,South Carolina
Newberry County Memorial Hospital,Newberry,48,"1,934","6,713",South Carolina
Oconee Memorial Hospital,Seneca,242,"5,097","20,994",South Carolina
Patewood Hospital,Greenville,38,"3,597","8,904",South Carolina
Pelham Medical Center,Greer,48,"3,043","10,503",South Carolina
Piedmont Medical Center,Rock Hill,288,"14,485","70,044",South Carolina
Prisma Health Baptist Hospital,Columbia,335,"11,610","66,421",South Carolina
Prisma Health Baptist Parkridge Hospital,Columbia,76,"4,165","17,267",South Carolina
Prisma Health Heart Hospital,Columbia,0,0,0,South Carolina
Prisma Health Richland Hospital,Columbia,704,"26,477","173,843",South Carolina
Prisma Health Tuomey,Sumter,196,"8,785","47,458",South Carolina
Providence Health,Columbia,332,"9,744","42,638",South Carolina
Providence Health Northeast,Columbia,0,0,0,South Carolina
Ralph H. Johnson VA Medical Center,Charleston,0,0,0,South Carolina
Regional Medical Center,Orangeburg,286,"8,628","46,932",South Carolina
Roper Hospital,Charleston,382,"11,062","54,369",South Carolina
Roper Rehabilitation Hospital,Charleston,0,0,0,South Carolina
Roper St. Francis Berkeley Hospital,Summerville,0,0,0,South Carolina
Roper St. Francis Mount Pleasant Hospital,Mount Pleasant,84,"2,747","9,280",South Carolina
Saint Francis Downtown,Greenville,338,"19,128","85,660",South Carolina
Saint Francis Eastside,Greenville,0,0,0,South Carolina
Self Regional Healthcare,Greenwood,322,"10,971","52,350",South Carolina
Spartanburg Medical Center,Spartanburg,493,"28,325","154,906",South Carolina
Spartanburg Medical Center - Mary Black Campus,Spartanburg,145,"5,927","20,678",South Carolina
Summerville Medical Center,Summerville,0,0,0,South Carolina
Tidelands Georgetown Memorial Hospital,Georgetown,131,"3,948","15,626",South Carolina
Tidelands Waccamaw Community Hospital,Murrells Inlet,124,"6,772","25,560",South Carolina
Trident Medical Center,Charleston,451,"25,401","115,709",South Carolina
Union Medical Center,Union,49,417,"2,420",South Carolina
Avera Dakota Plains Surgery Center,Aberdeen,15,290,770,South Dakota
Avera Fox Run Health Campus,Yankton,10,89,206,South Dakota
Avera Heart Hospital,Sioux Falls,53,"2,079","8,173",South Dakota
Avera McKennan Hospital & University Health Center,Sioux Falls,607,"24,800","120,894",South Dakota
Avera Queen of Peace Hospital,Mitchell,134,"1,741","6,050",South Dakota
Avera Sacred Heart Hospital,Yankton,262,"3,342","11,676",South Dakota
Avera Saint Luke's Hospital,Aberdeen,196,"4,083","11,098",South Dakota
Avera Saint Mary's Hospital,Pierre,130,"1,655","4,963",South Dakota
Black Hills Surgical Hospital,Rapid City,26,"1,799","3,899",South Dakota
Brookings Hospital,Brookings,128,"1,137","3,634",South Dakota
Cheyenne River Health Service,Eagle Butte,8,189,829,South Dakota
Dunes Surgery Hospital,Dakota Dunes,38,"1,443","3,140",South Dakota
Monument Health Rapid City Hospital,Rapid City,387,"16,405","81,475",South Dakota
Monument Health Spearfish Hospital,Spearfish,27,"1,514","3,936",South Dakota
Pine Ridge Hospital,Pine Ridge,45,"1,347","4,193",South Dakota
Prairie Lakes Hospital,Watertown,81,"2,714","9,033",South Dakota
Rosebud Hospital,Rosebud,35,322,"1,311",South Dakota
Same Day Surgery Center,Rapid City,6,70,133,South Dakota
Sanford Aberdeen Medical Center,Aberdeen,48,"1,569","3,817",South Dakota
Sanford USD Medical Center Sioux Falls,Sioux Falls,473,"25,190","110,363",South Dakota
Sioux Falls Specialty Hospital,Sioux Falls,26,"2,054","3,002",South Dakota
Sioux Falls VA Medical Center,Sioux Falls,0,0,0,South Dakota
VA Black Hills Health Care System - Fort Meade Campus,Fort Meade,0,0,0,South Dakota
VA Black Hills Health Care System - Hot Springs Campus,Hot Springs,0,0,0,South Dakota
CHI Memorial Hospital Chattanooga,Chattanooga,423,"22,379","112,291",Tennessee
Ascension Saint Thomas Highlands Hospital,Sparta,46,478,"1,368",Tennessee
Ascension Saint Thomas Stones River Hospital,Woodbury,52,409,"2,397",Tennessee
Ascension Saint Thomas West,Nashville,340,"17,952","96,361",Tennessee
Baptist Memorial Hospital - Caroll County,Huntingdon,54,603,"1,915",Tennessee
Baptist Memorial Hospital - Collierville,Collierville,81,"2,501","11,190",Tennessee
Baptist Memorial Hospital - Tipton,Covington,47,"1,065","2,731",Tennessee
Baptist Memorial Hospital - Union City,Union City,63,"2,339","6,895",Tennessee
Baptist Memorial Hospital for Women,Memphis,140,"12,250","36,273",Tennessee
Baptist Memorial Hospital Memphis,Memphis,770,"37,054","206,315",Tennessee
Big South Fork Medical Center,Oneida,25,427,"1,639",Tennessee
Blount Memorial Hospital,Maryville,279,"11,177","49,933",Tennessee
Bristol Regional Medical Center,Bristol,269,"15,255","66,616",Tennessee
CHI Memorial Hospital Hixson,Hixson,78,"2,940","11,445",Tennessee
Claiborne Medical Center,Tazewell,128,"1,113","3,646",Tennessee
Cookeville Regional Medical Center,Cookeville,231,"13,256","57,800",Tennessee
Cumberland Medical Center,Crossville,73,"5,105","19,382",Tennessee
Decatur County General Hospital,Parsons,40,346,813,Tennessee
Delta Medical Center,Memphis,223,127,"1,335",Tennessee
Dyersburg Hospital,Dyersburg,109,"4,462","16,848",Tennessee
Erlanger Baroness Hospital,Chattanooga,674,"39,766","183,327",Tennessee
Erlanger East Hospital,Chattanooga,0,0,0,Tennessee
Erlanger North Hospital,Chattanooga,0,0,0,Tennessee
Fort Loudoun Medical Center,Lenoir City,30,"2,285","9,594",Tennessee
Fort Sanders Regional Medical Center,Knoxville,352,"16,497","83,737",Tennessee
Franklin Woods Community Hospital,Johnson City,111,"4,983","19,013",Tennessee
Greeneville Community Hospital East,Greeneville,230,"2,596","10,367",Tennessee
Hardin Medical Center,Savannah,122,"1,249","4,430",Tennessee
Hawkins County Memorial Hospital,Rogersville,32,786,"2,565",Tennessee
Henderson County Community Hospital,Lexington,36,396,"1,030",Tennessee
Henry County Medical Center,Paris,86,"3,716","10,641",Tennessee
Holston Valley Medical Center,Kingsport,316,"18,407","81,455",Tennessee
Indian Path Community Hospital,Kingsport,148,"4,044","17,348",Tennessee
Jackson-Madison County General Hospital,Jackson,777,"28,588","157,395",Tennessee
James H. Quillen VA Medical Center,Mountain Home,0,0,0,Tennessee
Jefferson Memorial Hospital,Jefferson City,58,"1,670","6,013",Tennessee
Jellico Community Hospital,Jellico,34,558,"1,872",Tennessee
Johnson City Medical Center,Johnson City,528,"26,139","135,810",Tennessee
LaFollette Medical Center,LaFollette,155,"1,590","8,016",Tennessee
LeConte Medical Center,Sevierville,109,"4,538","16,040",Tennessee
Lincoln Medical Center,Fayetteville,49,"1,102","3,612",Tennessee
Livingston Regional Hospital,Livingston,114,"1,680","5,722",Tennessee
Maury Regional Medical Center,Columbia,265,"12,573","53,169",Tennessee
Memphis VA Medical Center,Memphis,0,0,0,Tennessee
Methodist Le Bonheur Germantown Hospital,Germantown,0,0,0,Tennessee
Methodist Medical Center of Oak Ridge,Oak Ridge,204,"10,414","45,860",Tennessee
Methodist North Hospital,Memphis,0,0,0,Tennessee
Methodist South Hospital,Memphis,0,0,0,Tennessee
Methodist University Hospital,Memphis,"1,362","61,866","307,135",Tennessee
Milan Hospital,Milan,47,480,"1,707",Tennessee
Morristown-Hamblen Hospital,Morristown,128,"7,458","27,047",Tennessee
Nashville General Hospital at Meharry,Nashville,114,"2,116","10,463",Tennessee
Newport Medical Center,Newport,88,"1,891","6,318",Tennessee
North Knoxville Medical Center,Powell,0,0,0,Tennessee
NorthCrest Medical Center,Springfield,109,"2,255","10,799",Tennessee
Parkridge East Hospital,Chattanooga,0,0,0,Tennessee
Parkridge Medical Center,Chattanooga,460,"16,725","92,732",Tennessee
Parkwest Medical Center,Knoxville,414,"22,615","112,072",Tennessee
Perry Community Hospital,Linden,33,334,"1,420",Tennessee
Pinewood Springs,Columbia,0,0,0,Tennessee
Regional One Medical Center,Memphis,326,"10,840","61,141",Tennessee
Roane Medical Center,Harriman,52,"2,743","10,156",Tennessee
Saint Francis Hospital - Bartlett,Bartlett,156,"8,019","35,560",Tennessee
Saint Francis Hospital-Memphis,Memphis,393,"14,664","69,519",Tennessee
Saint Thomas DeKalb Hospital,Smithville,52,444,"1,425",Tennessee
Saint Thomas Hospital for Specialty Surgery,Nashville,23,"1,945","2,848",Tennessee
Saint Thomas Midtown Hospital,Nashville,419,"21,325","105,176",Tennessee
Saint Thomas River Park Hospital,McMinnville,125,"1,824","5,223",Tennessee
Saint Thomas Rutherford Hospital,Murfreesboro,287,"19,370","84,741",Tennessee
Southern Tennessee - Lawrenceburg,Lawrenceburg,99,"1,796","6,010",Tennessee
Southern Tennessee - Sewanee,Sewanee,0,0,0,Tennessee
Southern Tennessee - Winchester,Winchester,198,"3,318","11,575",Tennessee
Southern Tennessee Regional Health System,Pulaski,95,"1,677","5,637",Tennessee
Starr Regional Medical Center - Athens,Athens,194,"2,323","9,029",Tennessee
Sumner Regional Medical Center,Gallatin,155,"6,801","27,484",Tennessee
Sweetwater Hospital Association,Sweetwater,59,"1,942","9,690",Tennessee
Sycamore Shoals Hospital,Elizabethton,121,"3,101","11,747",Tennessee
Tennova Healthcare - Cleveland Main Campus,Cleveland,183,"9,146","40,417",Tennessee
Tennova Healthcare - Harton,Tullahoma,74,"3,538","13,865",Tennessee
Tennova Healthcare - Shelbyville,Shelbyville,44,"1,278","3,325",Tennessee
Tennova Healthcare Clarksville,Clarksville,254,"9,067","38,873",Tennessee
TriStar Centennial Medical Center,Nashville,604,"30,644","154,623",Tennessee
TriStar Hendersonville Medical Center,Hendersonville,129,"6,945","26,110",Tennessee
TriStar Horizon Medical Center,Dickson,103,"5,408","19,925",Tennessee
TriStar Skyline Madison Campus,Madison,230,"4,149","19,412",Tennessee
TriStar Skyline Medical Center,Nashville,353,"16,673","89,226",Tennessee
TriStar Southern Hills Medical Center,Nashville,119,"4,445","18,779",Tennessee
TriStar StoneCrest Medical Center,Smyrna,109,"5,875","21,112",Tennessee
TriStar Summit Medical Center,Hermitage,190,"12,275","47,583",Tennessee
TrustPoint Hospital,Murfreesboro,217,1,18,Tennessee
Turkey Creek Medical Center,Knoxville,107,"5,475","22,660",Tennessee
Unicoi County Hospital,Erwin,56,442,"1,395",Tennessee
Unity Medical Center,Manchester,49,957,"3,242",Tennessee
University of Tennessee Medical Center,Knoxville,632,"30,393","171,796",Tennessee
VA Tennessee Valley Healthcare System - Nashville Campus,Nashville,0,0,0,Tennessee
Vanderbilt University Hospital,Nashville,"1,046","61,271","325,118",Tennessee
Vanderbilt Wilson County Hospital,Lebanon,245,"3,520","16,273",Tennessee
Volunteer Hospital,Martin,38,"1,171","3,282",Tennessee
Wayne Medical Center,Waynesboro,30,435,"1,276",Tennessee
West Tennessee Healthcare North Hospital,Jackson,115,"3,549","16,129",Tennessee
Williamson Medical Center,Franklin,185,"8,523","34,370",Tennessee
Baylor Scott & White Medical Center Plano,Plano,118,"7,027","31,803",Texas
Baylor Scott & White Medical Center Grapevine,Grapevine,289,"12,611","57,196",Texas
Baylor Scott & White Medical Center Temple,Temple,634,"37,125","170,504",Texas
CHI St. Joseph Health Bellville Hospital,Bellville,32,101,260,Texas
CHRISTUS Good Shepherd Medical Center - Marshall,Marshall,361,"18,616","67,436",Texas
CHRISTUS Good Shepherd Medical Center Longview,Longview,351,"14,640","54,600",Texas
Cuero Regional Hospital,Cuero,44,"1,018","3,547",Texas
HCA Houston Healthcare Kingwood,Kingwood,521,"19,472","97,625",Texas
HCA Houston Healthcare Medical Center,Houston,133,"3,529","21,805",Texas
Medical City North Hills,North Richland Hills,157,"6,416","28,785",Texas
Texas Health Presbyterian Hospital of Rockwall,Rockwall,53,"2,741","12,531",Texas
The University of Texas Medical Branch Health Angleton Danbury Campus,Angleton,62,"2,220","6,324",Texas
Abilene Regional Medical Center,Abilene,196,"5,700","24,140",Texas
Advanced Diagnostics Hospitals and Clinics,Houston,4,468,"1,255",Texas
AdventHealth Central Texas,Killeen,208,"8,012","26,068",Texas
Altus Baytown Hospital,Baytown,14,786,786,Texas
Altus Hospital Houston,Houston,0,0,0,Texas
Anson General Hospital,Anson,7,302,"1,836",Texas
Arise Austin Medical Center,Austin,21,535,989,Texas
Ascension Providence,Waco,271,"14,985","62,162",Texas
Ascension Seton Hays,Kyle,142,"7,947","34,888",Texas
Ascension Seton Medical Center Austin,Austin,430,"18,629","105,384",Texas
Ascension Seton Northwest,Austin,106,"4,933","18,733",Texas
Ascension Seton Smithville,Smithville,8,184,564,Texas
Ascension Seton Southwest,Austin,28,241,655,Texas
Ascension Seton Williamson,Round Rock,119,"7,351","34,491",Texas
Aspire Hospital,Conroe,30,32,194,Texas
Audie L. Murphy Memorial VA Hospital,San Antonio,0,0,0,Texas
Baptist Emergency Hospital Hausman,San Antonio,0,0,0,Texas
Baptist Emergency Hospital at Kelly,San Antonio,0,0,0,Texas
Baptist Emergency Hospital Overlook,San Antonio,0,0,0,Texas
Baptist Emergency Hospital Schertz,Schertz,0,0,0,Texas
Baptist Emergency Hospital Westover Hills,San Antonio,0,0,0,Texas
Baptist Emergency Hospital- Thousand Oaks,San Antonio,50,"1,269","2,568",Texas
Baptist Hospitals of Southeast Texas,Beaumont,396,"14,844","62,855",Texas
Baptist Medical Center,San Antonio,"1,567","58,575","271,393",Texas
Baylor Scott & White All Saints Medical Center,Fort Worth,377,"17,170","96,799",Texas
Baylor Scott & White Emergency Hospital - Colleyville,Colleyville,0,0,0,Texas
Baylor Scott & White Emergency Hospital - Grand Prairie,Grand Prairie,0,0,0,Texas
Baylor Scott & White Emergency Hospital - Keller,Keller,0,0,0,Texas
Baylor Scott & White Emergency Hospital - Mansfield,Mansfield,0,0,0,Texas
Baylor Scott & White Emergency Hospital - Murphy,Murphy,0,0,0,Texas
Baylor Scott & White Emergency Hospital - Rockwall,Rockwall,8,197,496,Texas
Baylor Scott & White Emergency Hospital-Aubrey,Aubrey,40,648,"1,235",Texas
Baylor Scott & White Emergency Hospital-Burleson,Burleson,24,423,741,Texas
Baylor Scott & White Heart and Vascular Hospital,Dallas,53,"2,628","8,845",Texas
Baylor Scott & White McLane Children's,Temple,2,0,0,Texas
Baylor Scott & White Medical Center - Pflugerville,Pflugerville,0,0,0,Texas
Baylor Scott & White Medical Center - Sunnyvale,Sunnyvale,70,"4,560","19,471",Texas
Baylor Scott & White Medical Center Austin,Austin,0,0,0,Texas
Baylor Scott & White Medical Center Brenham,Brenham,50,"1,739","4,054",Texas
Baylor Scott & White Medical Center Carrollton,Carrollton,94,"5,028","21,897",Texas
Baylor Scott & White Medical Center Centennial,Frisco,118,"4,498","19,750",Texas
Baylor Scott & White Medical Center College Station,College Station,119,"8,565","27,478",Texas
Baylor Scott & White Medical Center Hillcrest,Waco,236,"13,577","57,644",Texas
Baylor Scott & White Medical Center Irving,Irving,222,"10,124","44,998",Texas
Baylor Scott & White Medical Center Lake Pointe,Rowlett,121,"7,034","29,974",Texas
Baylor Scott & White Medical Center Lakeway,Lakeway,106,"2,908","11,504",Texas
Baylor Scott & White Medical Center Llano,Llano,25,182,471,Texas
Baylor Scott & White Medical Center Marble Falls,Marble Falls,46,"2,567","7,888",Texas
Baylor Scott & White Medical Center McKinney,McKinney,143,"8,594","36,446",Texas
Baylor Scott & White Medical Center Round Rock,Round Rock,167,"10,117","38,501",Texas
Baylor Scott & White Medical Center Trophy Club,Trophy Club,22,"1,113","2,456",Texas
Baylor Scott & White Medical Center Uptown,Dallas,24,"1,071","2,027",Texas
Baylor Scott & White Medical Center Waxahachie,Waxahachie,106,"7,341","27,985",Texas
Baylor Scott & White Orthopedic and Spine Hospital Arlington,Arlington,24,"1,704","3,895",Texas
Baylor Scott & White Surgical Hospital at Sherman,Sherman,12,492,"1,141",Texas
Baylor Scott & White Surgical Hospital Fort Worth,Fort Worth,30,"1,669","3,685",Texas
Baylor Scott & White Texas Spine & Joint Hospital,Tyler,20,"2,144","5,161",Texas
Baylor Scott and White Medical Center Frisco,Frisco,68,"4,127","15,303",Texas
Baylor Scott and White The Heart Hospital - Plano,Plano,114,"5,233","30,136",Texas
Baylor Scott and White The Heart Hospital Denton,Denton,22,660,"2,789",Texas
Baylor Surgical Hospital at Las Colinas,Irving,20,763,"1,531",Texas
Baylor University Medical Center,Dallas,824,"74,926","233,574",Texas
Ben Taub General Hospital,Houston,684,"28,163","145,212",Texas
Brownfield Regional Medical Center,Brownfield,26,432,"1,608",Texas
Brownwood Regional Medical Center,Brownwood,77,"2,743","11,025",Texas
BSA Hospital,Amarillo,378,"19,290","84,693",Texas
Carl R. Darnall Army Medical Center,Fort Hood,0,0,0,Texas
Cedar Park Regional Medical Center,Cedar Park,93,"5,925","19,141",Texas
Central Texas Veterans Health Care System - Olin E. Teague Veterans' Center,Temple,0,0,0,Texas
CHI Saint Luke's Health - Memorial Lufkin,Lufkin,184,"5,860","29,140",Texas
CHI Saint Luke's Health - The Woodlands,The Woodlands,234,"11,026","48,950",Texas
CHI Saint Luke's Health Lakeside Hospital,The Woodlands,30,796,"1,628",Texas
CHI Saint Luke's Health-Baylor Saint Luke's Medical Center,Houston,661,"23,114","148,532",Texas
CHI St. Joseph Health College Station Hospital,College Station,114,"3,418","14,191",Texas
CHI St. Joseph Health Regional Hospital,Bryan,209,"13,682","60,425",Texas
CHI St. Luke's Health - Patients Medical Center,South Pasadena,61,"3,880","18,550",Texas
CHI St. Luke's Health - The Vintage Hospital,Houston,86,"4,069","16,210",Texas
CHI St. Luke's Health-Memorial Livingston,Livingston,52,"2,008","6,838",Texas
CHI St. Luke's Sugar Land Hospital,Sugar Land,100,"4,380","20,406",Texas
CHI St.Luke's Health Brazosport Hospital,Lake Jackson,94,"3,834","12,269",Texas
Childress Regional Medical Center,Childress,39,472,"2,502",Texas
CHRISTUS Jasper Memorial Hospital,Jasper,40,726,"2,225",Texas
CHRISTUS Mother Frances Hospital - South Tyler,Tyler,0,0,0,Texas
